image,1B_left,1B_right,2A_left,2A_right,2B_left,2B_right,3A_left,3A_right,3B_left,3B_right,4A_left,4A_right,4B_left,4B_right,5A_left,5A_right,5B_left,5B_right,6A_left,6A_right,6B_left,6B_right,7A_left,7A_right,7B_left,7B_right
390-U1556B-3R-3-Pc2-1x.BMP,9074,10430,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-3R-3-Pc2-2x.BMP,,,57,1392,6728,8238,,,,,,,,,,,,,,,,,,,,
390-U1556B-3R-3-Pc2-3x.BMP,,,,,,,78,1591,,,,,,,,,,,,,,,,,,
391-U1556B-3R-3-Pc2-4x.BMP,3082,9716,,,,,,,,,,,,,,,,,,,,,,,,
392-U1556B-3R-3-Pc2-5x.BMP,,,129,6761,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-4R-1-Pc2-1x.BMP,4878,9683,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-4R-1-Pc2-2x.BMP,,,266,5068,7922,8925,,,,,,,,,,,,,,,,,,,,
390-U1556B-4R-1-Pc2-3x.BMP,,,,,,,366,1394,,,,,,,,,,,,,,,,,,
391-U1556B-4R-1-Pc7-1x.BMP,5768,9552,,,,,,,,,,,,,,,,,,,,,,,,
392-U1556B-4R-1-Pc7-2x.BMP,,,987,4769,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-4R-2-Pc1-1x.BMP,7076,10347,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-4R-2-Pc1-2x.BMP,,,723,4056,6791,9411,,,,,,,,,,,,,,,,,,,,
390-U1556B-4R-2-Pc1-3x.BMP,,,,,,,90,2737,,,,,,,,,,,,,,,,,,
390-U1556B-9R-2-Pc1-1x.BMP,7107,9274,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-9R-2-Pc1-2x.BMP,,,365,2612,8074,9591,,,,,,,,,,,,,,,,,,,,
390-U1556B-9R-2-Pc1-3x.BMP,,,,,,,242,1764,,,,,,,,,,,,,,,,,,
390-U1556B-9R-3-Pc1-2x.BMP,,,,,7532,7754,,,,,,,,,,,,,,,,,,,,
390-U1556B-9R-3-Pc1-3x.BMP,,,,,,,574,742,,,,,,,,,,,,,,,,,,
390-U1556B-10R-1-Pc10-1x.BMP,5785,9511,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-10R-1-Pc10-2x.BMP,,,774,4509,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-10R-2-Pc1-1x.BMP,2785,9018,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-10R-2-Pc1-2x.BMP,,,618,6844,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-10R-2-Pc12-1x.BMP,3405,9757,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-10R-2-Pc12-2x.BMP,,,961,7314,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-11R-1-Pc7-1x.BMP,8296,9589,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-11R-1-Pc7-2x.BMP,,,350,1650,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-11R-2-Pc1-1x.BMP,6251,9547,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-11R-2-Pc1-2x.BMP,,,40,3366,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-12R-1-Pc5-1x.BMP,8728,9980,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-12R-1-Pc5-2x.BMP,,,59,1312,8582,10406,,,,,,,,,,,,,,,,,,,,
390-U1556B-12R-1-Pc5-3x.BMP,,,,,,,451,2244,,,,,,,,,,,,,,,,,,
390-U1556B-12R-2-Pc2-1x.BMP,7645,9703,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-12R-2-Pc2-2x.BMP,,,683,2684,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-13R-1-Pc13-1x.BMP,7070,9015,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-13R-1-Pc13-2x.BMP,,,239,2194,8406,10502,,,,,,,,,,,,,,,,,,,,
390-U1556B-13R-1-Pc13-3x.BMP,,,,,,,340,2428,,,,,,,,,,,,,,,,,,
390-U1556B-16R-2-Pc1-1x.BMP,7074,9277,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-16R-2-Pc1-2x.BMP,,,88,2289,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-16R-3-Pc1-1x.BMP,7055,9263,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-16R-3-Pc1-2x.BMP,,,142,2372,8312,9571,,,,,,,,,,,,,,,,,,,,
390-U1556B-16R-3-Pc1-3x.BMP,,,,,,,290,1548,,,,,,,,,,,,,,,,,,
390-U1556B-17R-1-Pc2-1x.BMP,9035,9153,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-17R-1-Pc2-2x.BMP,,,296,420,8406,8569,,,,,,,,,,,,,,,,,,,,
390-U1556B-17R-1-Pc2-3x.BMP,,,,,,,344,528,8300,8444,,,,,,,,,,,,,,,,
390-U1556B-17R-1-Pc2-4x.BMP,,,,,,,,,,,6048,6171,,,,,,,,,,,,,,
390-U1556B-17R-1-Pc5-1x.BMP,3395,9103,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-17R-1-Pc5-2x.BMP,,,779,6485,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-18R-2-Pc3-1x.BMP,5673,9466,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-18R-2-Pc3-2x.BMP,,,88,3881,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-18R-3-Pc10-1x.BMP,7439,9946,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-18R-3-Pc10-2x.BMP,,,80,2580,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-18R-4-Pc4-1x.BMP,8105,9529,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-18R-4-Pc4-2x.BMP,,,141,1563,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-18R-4-Pc5-1x.BMP,3342,9928,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-18R-4-Pc5-2x.BMP,,,7,6606,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-19R-1-Pc7-1x.BMP,7939,8048,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-19R-1-Pc7-2x.BMP,,,1038,1133,8974,9131,,,,,,,,,,,,,,,,,,,,
390-U1556B-19R-1-Pc7-3x.BMP,,,,,,,1064,1174,,,,,,,,,,,,,,,,,,
390-U1556B-19R-2-Pc5-1x.BMP,7040,9572,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-19R-2-Pc5-2x.BMP,,,92,2602,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-19R-3-Pc6-1x.BMP,7906,8034,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-19R-3-Pc6-2x.BMP,,,1165,1253,9062,9238,,,,,,,,,,,,,,,,,,,,
390-U1556B-19R-3-Pc6-3x.BMP,,,,,,,1045,1203,9012,9173,,,,,,,,,,,,,,,,
390-U1556B-19R-3-Pc6-4x.BMP,,,,,,,,,,,4546,4668,,,,,,,,,,,,,,
390-U1556B-19R-4-Pc2-1x.BMP,7655,8707,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-19R-4-Pc2-2x.BMP,,,125,1177,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-19R-4-Pc6-1x.BMP,6888,8274,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-19R-4-Pc6-2x.BMP,,,150,1551,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-20R-1-Pc3-1x.BMP,7093,8607,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-20R-1-Pc3-2x.BMP,,,72,1552,8367,9331,,,,,,,,,,,,,,,,,,,,
390-U1556B-20R-1-Pc3-3x.BMP,,,,,,,150,1121,7367,9257,,,,,,,,,,,,,,,,
390-U1556B-20R-1-Pc3-4x.BMP,,,,,,,,,,,103,1991,,,,,,,,,,,,,,
390-U1556B-20R-2-Pc1-1x.BMP,7411,8459,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-20R-2-Pc1-2x.BMP,,,182,1222,8342,9643,,,,,,,,,,,,,,,,,,,,
390-U1556B-20R-2-Pc1-3x.BMP,,,,,,,249,1510,8000,9124,,,,,,,,,,,,,,,,
390-U1556B-20R-2-Pc1-4x.BMP,,,,,,,,,,,97,1218,8268,9157,,,,,,,,,,,,
390-U1556B-20R-2-Pc1-5x.BMP,,,,,,,,,,,,,,,588,1470,,,,,,,,,,
390-U1556B-20R-3-Pc1-1x.BMP,7755,8760,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-20R-3-Pc1-2x.BMP,,,118,1126,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-20R-4-Pc1-1x.BMP,7185,9445,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-20R-4-Pc1-2x.BMP,,,202,2456,8653,9403,,,,,,,,,,,,,,,,,,,,
390-U1556B-20R-4-Pc1-3x.BMP,,,,,,,291,1046,7911,9142,,,,,,,,,,,,,,,,
390-U1556B-20R-4-Pc1-4x.BMP,,,,,,,,,,,107,1340,8086,9121,,,,,,,,,,,,
390-U1556B-20R-4-Pc1-5x.BMP,,,,,,,,,,,,,,,53,1092,7360,9036,,,,,,,,
390-U1556B-20R-4-Pc1-6x.BMP,,,,,,,,,,,,,,,,,,,237,1888,,,,,,
390-U1556B-20R-5-Pc1-1x.BMP,7528,8702,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-20R-5-Pc1-2x.BMP,,,123,1285,7606,8963,,,,,,,,,,,,,,,,,,,,
390-U1556B-20R-5-Pc1-3x.BMP,,,,,,,145,1520,,,,,,,,,,,,,,,,,,
390-U1556B-20R-6-Pc1-1x.BMP,6840,9348,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-20R-6-Pc1-2x.BMP,,,34,2535,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-21R-1-Pc5-1x.BMP,7593,8792,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-21R-1-Pc5-2x.BMP,,,352,1558,8016,9264,,,,,,,,,,,,,,,,,,,,
390-U1556B-21R-1-Pc5-3x.BMP,,,,,,,478,1723,,,,,,,,,,,,,,,,,,
390-U1556B-21R-2-Pc1-1x.BMP,6918,9216,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-21R-2-Pc1-2x.BMP,,,184,2542,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-21R-2-Pc2-1x.BMP,3974,9590,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-21R-2-Pc2-2x.BMP,,,238,5896,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-24R-1-Pc10-1x.BMP,7183,9388,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-24R-1-Pc10-2x.BMP,,,392,2602,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-25R-2-Pc5-1x.BMP,9167,10280,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-25R-2-Pc5-2x.BMP,,,856,1990,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-26R-2-Pc14-1x.BMP,4354,9350,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-26R-2-Pc14-2x.BMP,,,1461,6474,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-27R-1-Pc1-1x.BMP,8184,9379,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-27R-1-Pc1-2x.BMP,,,298,1499,3094,8390,,,,,,,,,,,,,,,,,,,,
390-U1556B-27R-1-Pc1-3x.BMP,,,,,,,1215,6434,,,,,,,,,,,,,,,,,,
390-U1556B-27R-2-Pc9-1x.BMP,5019,9630,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-27R-2-Pc9-2x.BMP,,,2918,7548,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-27R-3-P1-1x.BMP,8386,9689,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-27R-3-P1-2x.BMP,,,189,1491,5395,8234,,,,,,,,,,,,,,,,,,,,
390-U1556B-27R-3-P1-3x.BMP,,,,,,,1465,4303,,,,,,,,,,,,,,,,,,
390-U1556B-27R-3-P3-1x.BMP,5428,9691,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-27R-3-P3-2x.BMP,,,1562,5941,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-28R-2-Pc4-1x.BMP,7735,8644,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-28R-2-Pc4-2x.BMP,,,75,975,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-28R-2-Pc10-1x.BMP,8232,9056,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-28R-2-Pc10-2x.BMP,,,47,882,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-28R-3-Pc7-1x.BMP,8610,10104,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-28R-3-Pc7-2x.BMP,,,242,1777,8132,8513,,,,,,,,,,,,,,,,,,,,
390-U1556B-28R-3-Pc7-3x.BMP,,,,,,,11,386,,,,,,,,,,,,,,,,,,
390-U1556B-29R-2-Pc2-1x.BMP,7835,8465,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-29R-2-Pc2-2x.BMP,,,287,902,8270,9027,,,,,,,,,,,,,,,,,,,,
390-U1556B-29R-2-Pc2-3x.BMP,,,,,,,389,1150,,,,,,,,,,,,,,,,,,
390-U1556B-29R-4-Pc2-1x.BMP,8599,9030,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-29R-4-Pc2-2x.BMP,,,15,411,7972,8456,,,,,,,,,,,,,,,,,,,,
390-U1556B-29R-4-Pc2-3x.BMP,,,,,,,58,492,,,,,,,,,,,,,,,,,,
390-U1556B-29R-4-Pc3-1x.BMP,7774,8975,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-29R-4-Pc3-2x.BMP,,,37,1238,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-30R-1-Pc1-1x.BMP,8560,8792,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-30R-1-Pc1-2x.BMP,,,180,416,8625,9115,,,,,,,,,,,,,,,,,,,,
390-U1556B-30R-1-Pc1-3x.BMP,,,,,,,69,545,,,,,,,,,,,,,,,,,,
390-U1556B-30R-2-Pc1-1x.BMP,7682,8380,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-30R-2-Pc1-2x.BMP,,,21,722,8353,8687,,,,,,,,,,,,,,,,,,,,
390-U1556B-30R-2-Pc1-3x.BMP,,,,,,,66,397,,,,,,,,,,,,,,,,,,
390-U1556B-30R-2-Pc3-1x.BMP,8376,8909,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-30R-2-Pc3-2x.BMP,,,31,559,7342,8156,,,,,,,,,,,,,,,,,,,,
390-U1556B-30R-2-Pc3-3x.BMP,,,,,,,92,931,7707,8570,,,,,,,,,,,,,,,,
390-U1556B-30R-2-Pc3-4x.BMP,,,,,,,,,,,158,1011,,,,,,,,,,,,,,
390-U1556B-30R-3-Pc1-1x.BMP,6796,8550,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-30R-3-Pc1-2x.BMP,,,169,1929,7698,8685,,,,,,,,,,,,,,,,,,,,
390-U1556B-30R-3-Pc1-3x.BMP,,,,,,,41,1041,,,,,,,,,,,,,,,,,,
390-U1556B-30R-3-Pc4-1x.BMP,5828,8603,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-30R-3-Pc4-2x.BMP,,,138,2914,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-30R-3-Pc5-1x.BMP,8184,8757,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-30R-3-Pc5-2x.BMP,,,35,605,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-31R-1-Pc4-1x.BMP,7252,7892,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-31R-1-Pc4-2x.BMP,,,319,963,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-31R-1-Pc5-1x.BMP,8497,8833,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-31R-1-Pc5-2x.BMP,,,55,388,7361,8991,,,,,,,,,,,,,,,,,,,,
390-U1556B-31R-1-Pc5-3x.BMP,,,,,,,831,2476,,,,,,,,,,,,,,,,,,
390-U1556B-31R-2-Pc1-1x.BMP,8368,8877,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-31R-2-Pc1-2x.BMP,,,23,532,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-31R-2-Pc8-1x.BMP,7013,8961,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-31R-2-Pc8-2x.BMP,,,63,2005,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-31R-3-Pc2-1x.BMP,7882,8499,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-31R-3-Pc2-2x.BMP,,,199,658,7825,8583,,,,,,,,,,,,,,,,,,,,
390-U1556B-31R-3-Pc2-3x.BMP,,,,,,,9,757,,,,,,,,,,,,,,,,,,
390-U1556B-31R-3-Pc5-1x.BMP,7954,8847,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-31R-3-Pc5-2x.BMP,,,41,935,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-31R-4-Pc4-1x.BMP,8846,8953,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-31R-4-Pc4-2x.BMP,,,83,186,7519,8465,,,,,,,,,,,,,,,,,,,,
390-U1556B-31R-4-Pc4-3x.BMP,,,,,,,181,1130,,,,,,,,,,,,,,,,,,
390-U1556B-32R-1-Pc1-1x.BMP,8292,9476,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-32R-1-Pc1-2x.BMP,,,252,1430,8176,9284,,,,,,,,,,,,,,,,,,,,
390-U1556B-32R-1-Pc1-3x.BMP,,,,,,,8,1118,,,,,,,,,,,,,,,,,,
390-U1556B-32R-1-Pc6-1x.BMP,5220,9091,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-32R-1-Pc6-2x.BMP,,,342,4226,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-33R-2-Pc2-1x.BMP,7691,9066,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-33R-2-Pc2-2x.BMP,,,315,1694,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-33R-2-Pc4-1x.BMP,9005,9088,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-33R-2-Pc4-2x.BMP,,,688,768,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-33R-3-Pc5-1x.BMP,7766,8484,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-33R-3-Pc5-2x.BMP,,,237,938,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-34R-2-Pc1-1x.BMP,8109,9200,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-34R-2-Pc1-2x.BMP,,,177,1262,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-34R-2-Pc2-1x.BMP,7491,8259,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-34R-2-Pc2-2x.BMP,,,240,1012,6465,9048,,,,,,,,,,,,,,,,,,,,
390-U1556B-34R-2-Pc2-3x.BMP,,,,,,,1431,4005,,,,,,,,,,,,,,,,,,
390-U1556B-34R-2-Pc2-4x.BMP,7528,8507,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-34R-2-Pc2-5x.BMP,,,252,1263,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-34R-3-Pc2-1x.BMP,8022,8810,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-34R-3-Pc2-2x.BMP,,,362,1154,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-34R-4-Pc1-1x.BMP,8757,9043,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-34R-4-Pc1-2x.BMP,,,128,420,8898,9179,,,,,,,,,,,,,,,,,,,,
390-U1556B-34R-4-Pc1-3x.BMP,,,,,,,261,549,7616,7940,,,,,,,,,,,,,,,,
390-U1556B-34R-4-Pc1-4x.BMP,,,,,,,,,,,199,524,8199,8594,,,,,,,,,,,,
390-U1556B-34R-4-Pc1-5x.BMP,,,,,,,,,,,,,,,806,1220,,,,,,,,,,
390-U1556B-34R-5-Pc1-1x.BMP,8922,9572,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-34R-5-Pc1-2x.BMP,,,308,966,8477,8842,,,,,,,,,,,,,,,,,,,,
390-U1556B-34R-5-Pc1-3x.BMP,,,,,,,300,672,,,,,,,,,,,,,,,,,,
390-U1556B-34R-6-Pc1-1x.BMP,8237,8528,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-34R-6-Pc1-2x.BMP,,,413,707,8661,8941,,,,,,,,,,,,,,,,,,,,
390-U1556B-34R-6-Pc1-3x.BMP,,,,,,,281,558,8607,8834,,,,,,,,,,,,,,,,
390-U1556B-34R-6-Pc1-4x.BMP,,,,,,,,,,,5400,5626,,,,,,,,,,,,,,
