image,1B_left,1B_right,2A_left,2A_right,2B_left,2B_right,3A_left,3A_right,3B_left,3B_right,4A_left,4A_right,4B_left,4B_right,5A_left,5A_right,5B_left,5B_right,6A_left,6A_right,6B_left,6B_right,7A_left,7A_right,7B_left,7B_right
390-U1556B-34R-6-Pc2-1x.BMP,8794,9116,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-34R-6-Pc2-2x.BMP,,,677,997,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-34R-7-Pc1-1x.BMP,8628,8966,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-34R-7-Pc1-2x.BMP,,,232,571,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-34R-7-Pc2-1x.BMP,8879,9135,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-34R-7-Pc2-2x.BMP,,,923,1393,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-35R-1-Pc15-1x.BMP,6769,8959,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-35R-1-Pc15-2x.BMP,,,555,2716,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-35R-2-Pc2-1x.BMP,7554,8625,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-35R-2-Pc2-2x.BMP,,,25,1087,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-35R-2-Pc7-1x.BMP,7251,8778,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-35R-2-Pc7-2x.BMP,,,1866,3399,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-35R-3-Pc1-1x.BMP,8410,8854,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-35R-3-Pc1-2x.BMP,,,115,564,7660,8277,,,,,,,,,,,,,,,,,,,,
390-U1556B-35R-3-Pc1-3x.BMP,,,,,,,197,814,,,,,,,,,,,,,,,,,,
390-U1556B-36R-1-Pc4-1x.BMP,8539,9207,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-36R-1-Pc4-2x.BMP,,,53,723,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-36R-2-Pc1-1x.BMP,8082,8971,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-36R-2-Pc1-2x.BMP,,,754,1576,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-37R-1-Pc3-1x.BMP,6945,8043,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-37R-1-Pc3-2x.BMP,,,644,1741,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-37R-2-Pc1-1x.BMP,7635,8347,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-37R-2-Pc1-2x.BMP,,,398,1113,8158,9315,,,,,,,,,,,,,,,,,,,,
390-U1556B-37R-2-Pc1-3x.BMP,,,,,,,141,1298,8425,8922,,,,,,,,,,,,,,,,
390-U1556B-37R-2-Pc1-4x.BMP,,,,,,,,,,,147,638,,,,,,,,,,,,,,
390-U1556B-37R-3-Pc1-1x.BMP,7849,8794,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-37R-3-Pc1-2x.BMP,,,492,1443,8066,9486,,,,,,,,,,,,,,,,,,,,
390-U1556B-37R-3-Pc1-3x.BMP,,,,,,,280,1714,8009,8982,,,,,,,,,,,,,,,,
390-U1556B-37R-3-Pc1-4x.BMP,,,,,,,,,,,227,1215,,,,,,,,,,,,,,
390-U1556B-38R-1-Pc1-1x.BMP,7907,9115,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-38R-1-Pc1-2x.BMP,,,398,1597,7907,9469,,,,,,,,,,,,,,,,,,,,
390-U1556B-38R-1-Pc1-3x.BMP,,,,,,,100,1685,8109,9252,,,,,,,,,,,,,,,,
390-U1556B-38R-1-Pc1-4x.BMP,,,,,,,,,,,203,1333,,,,,,,,,,,,,,
390-U1556B-38R-1-Pc4-1x.BMP,7792,9219,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-38R-1-Pc4-2x.BMP,,,2442,3780,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-38R-2-Pc3-1x.BMP,7269,8047,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-38R-2-Pc3-2x.BMP,,,87,870,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-38R-3-Pc1-1x.BMP,7675,9181,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-38R-3-Pc1-2x.BMP,,,258,1766,7911,8700,,,,,,,,,,,,,,,,,,,,
390-U1556B-38R-3-Pc1-3x.BMP,,,,,,,192,984,,,,,,,,,,,,,,,,,,
390-U1556B-39R-1-Pc3-1x.BMP,8052,8978,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-39R-1-Pc3-2x.BMP,,,273,1200,6191,9275,,,,,,,,,,,,,,,,,,,,
390-U1556B-39R-1-Pc3-3x.BMP,,,,,,,98,3085,,,,,,,,,,,,,,,,,,
390-U1556B-39R-2-Pc1-1x.BMP,7745,9243,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-39R-2-Pc1-2x.BMP,,,333,1839,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-40R-1-Pc12-1x.BMP,6876,8631,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-40R-1-Pc12-2x.BMP,,,888,2641,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-40R-1-Pc15-1x.BMP,6154,8939,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-40R-1-Pc15-2x.BMP,,,1402,4172,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-40R-2-Pc15-1x.BMP,7933,8541,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-40R-2-Pc15-2x.BMP,,,217,835,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-40R-3-Pc6-1x.BMP,8071,8485,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-40R-3-Pc6-2x.BMP,,,40,468,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-41R-1-Pc2-1x.BMP,7367,7661,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-41R-1-Pc2-2x.BMP,,,26,321,8008,8447,,,,,,,,,,,,,,,,,,,,
390-U1556B-41R-1-Pc2-3x.BMP,,,,,,,22,457,,,,,,,,,,,,,,,,,,
390-U1556B-41R-1-Pc9-1x.BMP,6845,8383,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-41R-1-Pc9-2x.BMP,,,498,2029,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-41R-2-Pc11-1x.BMP,7997,8716,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-41R-2-Pc11-2x.BMP,,,176,892,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-42R-1-Pc7-1x.BMP,6214,8473,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-42R-1-Pc7-2x.BMP,,,545,2521,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-43R-1-Pc9-1x.BMP,7884,8821,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-43R-1-Pc9-2x.BMP,,,39,992,8357,8946,,,,,,,,,,,,,,,,,,,,
390-U1556B-43R-1-Pc9-3x.BMP,,,,,,,95,694,8133,8800,,,,,,,,,,,,,,,,
390-U1556B-43R-1-Pc9-4x.BMP,,,,,,,,,,,130,798,,,,,,,,,,,,,,
390-U1556B-44R-1-Pc13-1x.BMP,8111,8779,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-44R-1-Pc13-2x.BMP,,,173,817,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-44R-2-Pc5-1x.BMP,7425,9155,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-44R-2-Pc5-2x.BMP,,,2101,3829,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-44R-2-Pc9-1x.BMP,6684,9256,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-44R-2-Pc9-2x.BMP,,,233,2823,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-45R-1-Pc5-1x.BMP,3469,8245,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-45R-1-Pc5-2x.BMP,,,196,4994,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-45R-1-Pc6-1x.BMP,5058,8680,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-45R-1-Pc6-2x.BMP,,,935,4564,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-45R-2-Pc2-1x.BMP,6000,7538,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-45R-2-Pc2-2x.BMP,,,1900,3450,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-46R-1-Pc1-1x.BMP,7282,8772,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-46R-1-Pc1-2x.BMP,,,304,1801,8929,9485,,,,,,,,,,,,,,,,,,,,
390-U1556B-46R-1-Pc1-3x.BMP,,,,,,,202,765,8200,9588,,,,,,,,,,,,,,,,
390-U1556B-46R-1-Pc1-4x.BMP,,,,,,,,,,,382,1770,8190,9143,,,,,,,,,,,,
390-U1556B-46R-1-Pc1-5x.BMP,,,,,,,,,,,,,,,307,1267,8214,9261,,,,,,,,
390-U1556B-46R-1-Pc1-6x.BMP,,,,,,,,,,,,,,,,,,,149,1189,8254,9598,,,,
390-U1556B-46R-1-Pc1-7x.BMP,,,,,,,,,,,,,,,,,,,,,,,1010,2362,,
390-U1556B-46R-2-Pc1-1x.BMP,8067,9214,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-46R-2-Pc1-2x.BMP,,,884,2032,8690,9469,,,,,,,,,,,,,,,,,,,,
390-U1556B-46R-2-Pc1-3x.BMP,,,,,,,482,1263,8551,9450,,,,,,,,,,,,,,,,
390-U1556B-46R-2-Pc1-4x.BMP,,,,,,,,,,,3220,4112,,,,,,,,,,,,,,
390-U1556B-46R-3-Pc1-1x.BMP,8107,9298,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-46R-3-Pc1-2x.BMP,,,520,1707,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-46R-3-Pc7-1x.BMP,5749,8581,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-46R-3-Pc7-2x.BMP,,,2289,5131,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-47R-1-Pc5-1x.BMP,8184,8740,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-47R-1-Pc5-2x.BMP,,,37,601,7587,8104,,,,,,,,,,,,,,,,,,,,
390-U1556B-47R-1-Pc5-3x.BMP,,,,,,,126,644,,,,,,,,,,,,,,,,,,
390-U1556B-48R-1-Pc6-1x.BMP,7931,8274,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-48R-1-Pc6-2x.BMP,,,704,1056,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-48R-2-Pc9-1x.BMP,7977,8382,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-48R-2-Pc9-2x.BMP,,,88,498,7811,8287,,,,,,,,,,,,,,,,,,,,
390-U1556B-48R-2-Pc9-3x.BMP,,,,,,,77,549,,,,,,,,,,,,,,,,,,
390-U1556B-49R-1-Pc8-1x.BMP,7518,8525,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-49R-1-Pc8-2x.BMP ,,,11,1032,7642,8098,,,,,,,,,,,,,,,,,,,,
390-U1556B-49R-1-Pc8-3x.BMP,,,,,,,169,556,,,,,,,,,,,,,,,,,,
390-U1556B-49R-2-Pc13-1x.BMP,8043,8641,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-49R-2-Pc13-2x.BMP,,,87,679,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-50R-1-Pc5-1x.BMP,7273,9449,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-50R-1-Pc5-2x.BMP,,,656,2811,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-50R-1-Pc15-1x.BMP,2182,3911,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-50R-1-Pc15-2x.BMP,,,1038,2761,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-50R-2-Pc5-1x.BMP,7921,8250,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-50R-2-Pc5-2x.BMP,,,168,507,7859,9105,,,,,,,,,,,,,,,,,,,,
390-U1556B-50R-2-Pc5-3x.BMP,,,,,,,1667,2919,,,,,,,,,,,,,,,,,,
390-U1556B-51R-1-Pc1-1x.BMP,7213,9256,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-51R-1-Pc1-2x.BMP,,,160,2190,8210,9581,,,,,,,,,,,,,,,,,,,,
390-U1556B-51R-1-Pc1-3x.BMP,,,,,,,723,2108,8709,9492,,,,,,,,,,,,,,,,
390-U1556B-51R-1-Pc1-4x.BMP,,,,,,,,,,,506,1288,,,,,,,,,,,,,,
390-U1556B-51R-2-Pc4-1x.BMP,6062,7835,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-51R-2-Pc4-2x.BMP,,,49,1815,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-52R-1-Pc5-1x.BMP,7290,8201,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-52R-1-Pc5-2x.BMP,,,158,1075,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-53R-1-Pc3-1x.BMP,7632,8657,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-53R-1-Pc3-2x.BMP,,,1372,2400,5684,7987,,,,,,,,,,,,,,,,,,,,
390-U1556B-53R-1-Pc3-3x.BMP,,,,,,,330,2338,,,,,,,,,,,,,,,,,,
390-U1556B-53R-1-Pc7-1x.BMP,6864,7975,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-53R-1-Pc7-2x.BMP,,,146,1252,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-53R-2-Pc12-1x.BMP,6192,6765,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-53R-2-Pc12-2x.BMP,,,140,713,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-54R-2-Pc9-1x.BMP,8111,9297,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-54R-2-Pc9-2x.BMP,,,83,1298,8854,9579,,,,,,,,,,,,,,,,,,,,
390-U1556B-54R-2-Pc9-3x.BMP,,,,,,,100,808,,,,,,,,,,,,,,,,,,
390-U1556B-54R-4-Pc4-1x.BMP,6780,8509,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-54R-4-Pc4-2x.BMP,,,409,2125,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-55R-1-Pc6-1x.BMP,6963,8985,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-55R-1-Pc6-2x.BMP,,,305,2348,5262,8647,,,,,,,,,,,,,,,,,,,,
390-U1556B-55R-1-Pc6-3x.BMP,,,,,,,1089,4461,,,,,,,,,,,,,,,,,,
390-U1556B-55R-2-Pc1-1x.BMP,7322,8903,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-55R-2-Pc1-2x.BMP,,,521,2093,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-55R-2-Pc3-1x.BMP,8602,9288,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-55R-2-Pc3-2x.BMP,,,230,904,7398,8930,,,,,,,,,,,,,,,,,,,,
390-U1556B-55R-2-Pc3-3x.BMP,,,,,,,759,2272,,,,,,,,,,,,,,,,,,
390-U1556B-55R-3-Pc10-1x.BMP,5678,8495,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-55R-3-Pc10-2x.BMP,,,306,3120,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-55R-4-Pc1-2x.BMP,8182,9418,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-55R-4-Pc1-3x.BMP,,,99,1333,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-56R-1-Pc1-1x.BMP,7606,8562,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-56R-1-Pc1-2x.BMP,,,872,1831,8990,9525,,,,,,,,,,,,,,,,,,,,
390-U1556B-56R-1-Pc1-3x.BMP,,,,,,,154,694,8137,8706,,,,,,,,,,,,,,,,
390-U1556B-56R-1-Pc1-4x.BMP,,,,,,,,,,,129,708,7604,7968,,,,,,,,,,,,
390-U1556B-56R-1-Pc1-5x.BMP,,,,,,,,,,,,,,,107,457,7278,8109,,,,,,,,
390-U1556B-56R-1-Pc1-6x.BMP,,,,,,,,,,,,,,,,,,,2825,3654,,,,,,
390-U1556B-56R-2-Pc5-1x.BMP,7334,8708,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-56R-2-Pc5-2x.BMP,,,845,2199,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-56R-2-Pc8-1x.BMP,7016,7882,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-56R-2-Pc8-2x.BMP,,,279,1164,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-56R-3-Pc1-1x.BMP,7009,8078,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-56R-3-Pc1-2x.BMP,,,126,1203,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-56R-3-Pc13-1x.BMP,7653,8134,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-56R-3-Pc13-2x.BMP,,,171,649,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-56R-4-Pc1-1x.BMP,7241,7981,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-56R-4-Pc1-2x.BMP,,,213,958,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-56R-4-Pc2-1x.BMP,6619,8695,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-56R-4-Pc2-2x.BMP,,,88,2186,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-57R-2-Pc1-1x.BMP,5852,6500,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-57R-2-Pc1-2x.BMP,,,181,833,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-57R-3-Pc3-1x.BMP,6872,7813,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-57R-3-Pc3-2x.BMP,,,259,1209,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-57R-3-Pc5-1x.BMP,7114,7520,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-57R-3-Pc5-2x.BMP,,,26,429,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-58R-1-Pc2-1x.BMP,7049,8624,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-58R-1-Pc2-2x.BMP,,,214,1778,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-58R-1-Pc4-1x.BMP,7265,9088,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-58R-1-Pc4-2x.BMP,,,1541,3335,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-58R-1-Pc6-1x.BMP,5606,8109,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-58R-1-Pc6-2x.BMP,,,1909,4405,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-58R-2-Pc1-1x.BMP,7535,9041,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-58R-2-Pc1-2x.BMP,,,149,1667,8955,9569,,,,,,,,,,,,,,,,,,,,
390-U1556B-58R-2-Pc1-3x.BMP,,,,,,,393,1005,8427,9447,,,,,,,,,,,,,,,,
390-U1556B-58R-2-Pc1-4x.BMP,,,,,,,,,,,170,1289,7804,9207,,,,,,,,,,,,
390-U1556B-58R-2-Pc1-5x.BMP,,,,,,,,,,,,,,,2919,4326,,,,,,,,,,
390-U1556B-58R-2-Pc4-1x.BMP,5267,8148,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-58R-2-Pc4-2x.BMP,,,1629,4491,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-59R-1-Pc3-1x.BMP,7915,8749,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-59R-1-Pc3-2x.BMP,,,322,1138,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-59R-1-Pc4-1x.BMP,7628,9241,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-59R-1-Pc4-2x.BMP,,,1012,2650,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-59R-2-Pc1-1x.BMP,6336,8963,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-59R-2-Pc1-2x.BMP,,,415,3076,8041,9497,,,,,,,,,,,,,,,,,,,,
390-U1556B-59R-2-Pc1-3x.BMP,,,,,,,153,1587,7658,9069,,,,,,,,,,,,,,,,
390-U1556B-59R-2-Pc1-4x.BMP,,,,,,,,,,,4465,5872,,,,,,,,,,,,,,
390-U1556B-59R-3-Pc1-1x.BMP,7377,8589,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-59R-3-Pc1-2x.BMP,,,281,1467,8492,9524,,,,,,,,,,,,,,,,,,,,
390-U1556B-59R-3-Pc1-3x.BMP,,,,,,,158,1197,7946,9317,,,,,,,,,,,,,,,,
390-U1556B-59R-3-Pc1-4x.BMP,,,,,,,,,,,116,1508,,,,,,,,,,,,,,
390-U1556B-59R-3-Pc3-1x.BMP,5412,8672,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-59R-3-Pc3-2x.BMP,,,736,3994,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-59R-4-Pc2-1x.BMP,6727,7036,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-59R-4-Pc2-2x.BMP,,,185,496,,,,,,,,,,,,,,,,,,,,,,